CodeRégion,Région,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,HAMON,LASSALLE,POUTOU,ASSELINEAU,ARTHAUD,CHEMINADE,LE PEN.ins,MACRON.ins,MÉLENCHON.ins,FILLON.ins,DUPONT-AIGNAN.ins,HAMON.ins,LASSALLE.ins,POUTOU.ins,ASSELINEAU.ins,ARTHAUD.ins,CHEMINADE.ins,LE PEN.exp,MACRON.exp,MÉLENCHON.exp,FILLON.exp,DUPONT-AIGNAN.exp,HAMON.exp,LASSALLE.exp,POUTOU.exp,ASSELINEAU.exp,ARTHAUD.exp,CHEMINADE.exp
44,Grand Est,3873412,826149,21.3287148384938,3047263,78.6712851615062,55295,1.42755276226748,1.81457918138343,20753,0.535780856774337,0.681037376819789,2971215,76.7079515424644,97.5043834417968,825495,615683,484665,586320,182154,151312,30508,34472,30219,24300,6087,21.3118304998281,15.8951074659757,12.5126116199361,15.1370419671339,4.7026755738868,3.90642668531001,0.787626000022719,0.889964713281211,0.780164877890604,0.62735386785604,0.157148271343198,27.7830786395465,20.7215903258431,16.3120137721437,19.733341410837,6.1306233308596,5.09259679962574,1.02678533865775,1.16019877390226,1.01705867801556,0.817847244309146,0.204865686259661
75,Nouvelle-Aquitaine,4329952,845939,19.5369140350748,3484013,80.4630859649253,63942,1.47673692456637,1.83529739986619,30374,0.701485836332597,0.871810753863433,3389697,78.2848632040263,97.2928918462704,640227,851366,703479,602882,155600,240175,91914,49649,26699,21442,6264,14.786006865665,19.6622502974629,16.2468082787061,13.9235261730384,3.59357332367657,5.54682823273792,2.12274870483553,1.14664088655024,0.616611916252189,0.495201794384788,0.144666730716645,18.8874403818394,25.1162862049322,20.7534478745445,17.7857194905621,4.5903807921475,7.08544156011585,2.71156979517638,1.46470318733503,0.78765152165518,0.632563913529734,0.18479527816203
84,Auvergne et Rhône-Alpes,5417395,1119368,20.6624770761593,4298027,79.3375229238407,75604,1.3955785022137,1.75903967099323,32898,0.607266038381916,0.765420971064165,4189525,77.3346783832451,97.4755393579426,867941,1026414,805863,846154,215981,256658,53283,43541,41412,24676,7602,16.0213718955328,18.9466339449126,14.8754705905698,15.619204433127,3.98680546646497,4.73766450480351,0.983553903675106,0.803725775949511,0.764426444813421,0.455495676427508,0.140325746968792,20.7169309169894,24.499531569808,19.2351877599489,20.1968958294795,5.15526223139855,6.12618375591505,1.27181482387622,1.03928249622571,0.98846527947679,0.588992785578317,0.181452551303549
27,Bourgogne-Franche-Comté,2001703,412943,20.6295839093012,1588760,79.3704160906988,31110,1.55417661860925,1.95813086935723,12765,0.63770699249589,0.803456783906946,1544885,77.1785324795936,97.2384123467358,387661,338190,276956,304388,87264,87384,15844,18531,14331,11494,2842,19.3665593746925,16.8951138105903,13.8360186301364,15.206451706372,4.35948789605651,4.36548279140312,0.791526015597719,0.925761713900614,0.715940376769181,0.574211059283021,0.141979104792269,25.0931946390832,21.8909498117983,17.9272890862427,19.7029552361503,5.64857578395803,5.65634335241782,1.02557795564071,1.1995067594028,0.927641863310214,0.744003598973387,0.183961913022652
53,Bretagne,2453684,405089,16.5094201209284,2048595,83.4905798790716,34310,1.39830556828019,1.67480639169772,13962,0.569021927844009,0.681540275164198,2000323,81.5232523829475,97.6436533331381,306642,581075,385734,380815,87928,180827,19097,27092,13418,14295,3400,12.4972082794688,23.6817373386304,15.7206062394343,15.5201321767595,3.58350953097465,7.36961238692513,0.778299080077141,1.1041356588705,0.546851183771015,0.582593357579868,0.138567150456212,15.3296242656811,29.0490585770398,19.2835857009093,19.0376754154204,4.39569009604949,9.03989005775567,0.954695816625615,1.35438126742531,0.670791667145756,0.714634586514278,0.169972549433267
24,Centre-Val de Loire,1827688,360796,19.7405684121141,1466892,80.2594315878859,27909,1.52701117477381,1.90259405600412,11372,0.622206853686187,0.775244530613024,1427611,78.1102135594259,97.3221614133829,329470,323724,252307,300324,82060,83552,13570,16282,12075,11365,2882,18.0265997259926,17.7122134631294,13.8047084622758,16.43190741527,4.48982539689488,4.57145858592933,0.742468079891097,0.890852268001978,0.660670749055638,0.621823856150503,0.157685556834646,23.0784156188205,22.6759250243939,17.6733718078664,21.0368230561406,5.74806442371206,5.85257468596137,0.950539047401568,1.14050676269656,0.845818643874277,0.796085208085396,0.20187572104726
11,Île-de-France,7198639,1447469,20.1075369941457,5751170,79.8924630058543,87790,1.21953608175101,1.52647200482684,30941,0.429817358531245,0.537994877564043,5632439,78.2431095655721,97.9355331176091,708262,1612742,1225220,1249725,226248,430386,36357,45713,64395,23595,9796,9.83883203477768,22.4034293149024,17.0201617277933,17.360573297258,3.14292743392188,5.97871347625572,0.505053802531284,0.635022814729284,0.894544093682153,0.327770291023067,0.136081278697265,12.5746945506201,28.6331019297324,21.7529208927074,22.1879899631403,4.01687439491133,7.64120126289872,0.645493009333967,0.811602220636566,1.14328801430428,0.418912659329289,0.173921102385663
76,Occitanie,4194237,795040,18.9555335094321,3399197,81.0444664905679,56355,1.34362936572254,1.65789155497607,27741,0.66140754563941,0.816104509388541,3315101,79.039429579206,97.5260039356354,761965,739858,733998,565997,135369,216322,75476,35211,28606,16777,5522,18.1669514622087,17.6398710897834,17.500155570608,13.4946356154886,3.22750001966985,5.15760077458665,1.79951681318915,0.839509069229993,0.682031082172991,0.400001239796416,0.131656842472183,22.9846692453714,22.3178117348461,22.1410448731426,17.0732958060705,4.08340500033031,6.52535171628255,2.27673304674579,1.06213958488746,0.862899803052758,0.506078095358181,0.166571093912373
32,Hauts-de-France,4241887,925193,21.8108827510021,3316694,78.1891172489979,58622,1.38197929364927,1.76748292124628,25489,0.600888236768212,0.768506229395898,3232583,76.2062497185804,97.4640108493578,1003221,630300,633322,521389,160722,166640,22411,33653,26043,29194,5688,23.650347121458,14.8589531027111,14.9301949816202,12.2914401067261,3.78892695632863,3.92844033799109,0.528326190678818,0.793349752126825,0.613948462087746,0.688231440394334,0.134091266457593,31.0346555680086,19.4983392537794,19.5918248657498,16.1291759561935,4.97193730215125,5.15501071434206,0.69328459625012,1.0410560223821,0.805640566692333,0.903116795454285,0.175958358996505
28,Normandie,2398182,458367,19.1131031756556,1939815,80.8868968243445,35198,1.46769511238096,1.81450292940306,12659,0.527858185909159,0.652588004526205,1891958,78.8913435260543,97.5329090660708,452700,423075,362535,370188,98957,113744,13900,23816,14303,15196,3544,18.8767991753753,17.6414884274838,15.1170761852103,15.436192916134,4.12633403136209,4.74292609985397,0.57960571799805,0.993085595672055,0.596410113994684,0.633646654007077,0.147778608962956,23.927592472983,22.3617543306987,19.1618947143647,19.5663962942095,5.23040152054115,6.0119727816368,0.734688613595016,1.25880172815676,0.755989297859678,0.803189077135962,0.187319168818758
52,Pays de la Loire,2705189,452496,16.7269643636729,2252693,83.2730356363271,44080,1.62946100993313,1.95676907594599,16697,0.617221199701758,0.741201752746601,2191916,81.0263534266922,97.3020291713074,364266,575831,403454,516428,109842,143491,16988,26340,15529,16018,3729,13.4654547242355,21.286165218031,14.9140780921407,19.0902742839779,4.0604186990262,5.3042874268674,0.627978303918876,0.973684278621568,0.574044918857795,0.592121289861817,0.137846191153372,16.6186112971483,26.2706691314813,18.4064535319784,23.5605744015738,5.01123218225516,6.54637312743737,0.77502970004325,1.2016883858688,0.708466930302074,0.730776179379137,0.170125132532451
93,Provence-Alpes-Côte d'Azur,3567553,756889,21.2159146619546,2810664,78.7840853380454,44376,1.24387780644044,1.57884400269829,15546,0.435760870265978,0.553107735396333,2750742,77.104446661339,97.8680482619054,774787,520895,515419,615451,119024,113344,29551,21315,25948,10439,4569,21.717603074152,14.600904317329,14.4474097511656,17.2513484733093,3.3362924110728,3.17707963974186,0.828326867183193,0.597468348753333,0.727333272974501,0.292609528155573,0.128070977501946,28.1664729007664,18.9365269443663,18.7374533853048,22.3739994517843,4.32697795722027,4.12048821736099,1.07429195467986,0.774881831883906,0.943309114413493,0.37949760464631,0.166100637573426
94,Corse,233643,74652,31.9513103324302,158991,68.0486896675698,2714,1.16160124634592,1.70701486247649,1902,0.81406247993734,1.19629412985641,154375,66.0730259412865,97.0966910076671,43040,28528,21206,39398,4462,5780,8767,1380,967,495,352,18.4212666332824,12.2100811922463,9.07624024687236,16.8624782253267,1.90975120161957,2.47385969192315,3.75230586835471,0.590644701531824,0.413879294479184,0.211861686419024,0.150657199231306,27.8801619433198,18.4796761133603,13.7366801619433,25.520971659919,2.89036437246964,3.74412955465587,5.67902834008097,0.893927125506073,0.626396761133603,0.320647773279352,0.228016194331984
1,Guadeloupe,316345,189694,59.9642795049708,126651,40.0357204950292,5648,1.7853925303071,4.45949893802655,8510,2.69010099732887,6.71925211802512,112493,35.5602269673932,88.8212489439483,15203,33992,27139,16337,2042,11188,658,2308,1319,1980,327,4.80582907901184,10.7452306816925,8.57892490793279,5.16429847160537,0.645497795128736,3.53664511846244,0.208000758665381,0.729583208206231,0.4169498490572,0.625898939449019,0.103368158181732,13.514618687385,30.2169912794574,24.1250566701928,14.5226814112878,1.81522405838586,9.94550772048039,0.584925284239908,2.05168321584454,1.17251740108273,1.76010951792556,0.290684753718009
2,Martinique,310812,186855,60.1183351994132,123957,39.8816648005869,8132,2.61637259822658,6.56033947255903,6345,2.04142697193159,5.11871052058375,109480,35.2238652304287,88.3209500068572,11975,27951,29958,18444,2340,10673,871,3230,1407,2257,374,3.85281134576529,8.99289602718042,9.63862399135169,5.93413381722713,0.752866684683989,3.43390860069753,0.280233710410151,1.03921341518345,0.452685224508706,0.726162439030668,0.120329974389663,10.9380708805261,25.5306905370844,27.3639020825722,16.8469126781147,2.13737668980636,9.74881256850566,0.7955791012057,2.95031055900621,1.28516624040921,2.06156375593716,0.341614906832298
3,Guyane,92035,60110,65.3121095235508,31925,34.6878904764492,3747,4.07127723148802,11.7368833202819,1344,1.46031401097409,4.20986687548943,26834,29.1562992339871,84.0532498042287,6519,5031,6633,3934,471,1528,273,1405,480,462,98,7.08317487912207,5.46639865268648,7.20704079969577,4.2744608029554,0.511761829738686,1.66023795295268,0.296626283479111,1.52659314391264,0.521540718205031,0.501982941272342,0.10648122996686,24.2938063650593,18.7486025191921,24.7186405306701,14.6605053290601,1.75523589476038,5.69426846537974,1.01736602817321,5.23589476037862,1.7887754341507,1.72169635537005,0.365208317805769
4,La Réunion,639481,264229,41.3192886106077,375252,58.6807113893923,11468,1.79332927796135,3.05607964781001,13305,2.08059348127622,3.54561734514406,350479,54.8067886301548,93.3983030070459,82219,66292,85987,60508,10123,26872,1939,4376,6029,5190,944,12.8571450910973,10.3665316092269,13.4463729180382,9.46204812965514,1.58300246606232,4.2021576872495,0.303214638120601,0.684304928527978,0.94279579846782,0.811595653350139,0.147619710358869,23.459037488694,18.9146853306475,24.5341375660168,17.2643724731011,2.88833282450589,7.66722114591744,0.553242847645651,1.24857694754893,1.72021718847634,1.48083052051621,0.269345666930116
6,Mayotte,83045,46872,56.441688241315,36173,43.5583117586851,960,1.15599975916672,2.65391313963453,1744,2.10006622915287,4.82127553700274,33469,40.3022457703655,92.5248113233627,9130,6403,2808,10912,1030,1454,190,629,411,336,166,10.9940393762418,7.71027756035884,3.38129929556265,13.139863929195,1.24029140827262,1.75085796857126,0.228791619001746,0.757420675537359,0.494912396893251,0.404599915708351,0.199891625022578,27.2789745734859,19.1311362753593,8.38985329708088,32.6033045504796,3.07747467806029,4.34431862320356,0.56768950371986,1.87935104126206,1.22800203173086,1.00391406973617,0.495981355881562
